"DIM2","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","SKP jooksevhindades ühe elaniku kohta","1995","1995",1934.7058,,
"1","SKP jooksevhindades ühe elaniku kohta","1996","1996",2577.917,,
"1","SKP jooksevhindades ühe elaniku kohta","1997","1997",3211.6157,,
"1","SKP jooksevhindades ühe elaniku kohta","1998","1998",3642.6055,,
"1","SKP jooksevhindades ühe elaniku kohta","1999","1999",3909.924,,
"1","SKP jooksevhindades ühe elaniku kohta","2000","2000",4417.2066,,
"1","SKP jooksevhindades ühe elaniku kohta","2001","2001",5025.7849,,
"1","SKP jooksevhindades ühe elaniku kohta","2002","2002",5635.8728,,
"1","SKP jooksevhindades ühe elaniku kohta","2003","2003",6353.5046,,
"1","SKP jooksevhindades ühe elaniku kohta","2004","2004",7124.6244,,
"1","SKP jooksevhindades ühe elaniku kohta","2005","2005",8313.0377,,
"1","SKP jooksevhindades ühe elaniku kohta","2006","2006",10039.8019,,
"1","SKP jooksevhindades ühe elaniku kohta","2007","2007",12118.0276,,
"1","SKP jooksevhindades ühe elaniku kohta","2008","2008",12353.148,,
"1","SKP jooksevhindades ühe elaniku kohta","2009","2009",10600.0039,,
"1","SKP jooksevhindades ühe elaniku kohta","2010","2010",11052.8046,,
"1","SKP jooksevhindades ühe elaniku kohta","2011","2011",12556.2333,,
"1","SKP jooksevhindades ühe elaniku kohta","2012","2012",13559.3457,,
"1","SKP jooksevhindades ühe elaniku kohta","2013","2013",14364.4315,,
"1","SKP jooksevhindades ühe elaniku kohta","2014","2014",15260.9364,,
"1","SKP jooksevhindades ühe elaniku kohta","2015","2015",15709.6326,,
"1","SKP jooksevhindades ühe elaniku kohta","2016","2016",16478.805,,
"1","SKP jooksevhindades ühe elaniku kohta","2017","2017",17925.7612,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","1995","1995",5522.2031,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","1996","1996",5902.6429,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","1997","1997",6674.7945,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","1998","1998",7016.6897,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","1999","1999",7009.7034,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2000","2000",7632.1494,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2001","2001",8167.0216,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2002","2002",8718.3324,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2003","2003",9423.8592,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2004","2004",10077.1307,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2005","2005",11084.9851,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2006","2006",12295.9121,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2007","2007",13309.1998,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2008","2008",12621.7114,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2009","2009",10784.0076,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2010","2010",11052.8046,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2011","2011",11928.6779,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2012","2012",12487.0939,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2013","2013",12774.2938,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2014","2014",13177.8017,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2015","2015",13427.5742,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2016","2016",13883.5922,,
"2","SKP aheldatud väärtus (referentsaasta 2010) ühe elaniku kohta","2017","2017",14540.2602,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","1995","1995",1934.992,,
"3","Kogurahvatulu (rahvuslik koguprodukt) jooksevhindades ühe elaniku kohta","1996","1996",2576.6924,,
