"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2004","2004",7124.6,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2005","2005",8313,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2006","2006",10039.8,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2007","2007",12118,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2008","2008",12353.1,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2009","2009",10600,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2010","2010",11052.8,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2011","2011",12556.2,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2012","2012",13559.3,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2013","2013",14332.4,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2014","2014",15036.6,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2015","2015",15478.1,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2016","2016",16034.7,,
"1","Sisemajanduse koguprodukt elaniku kohta, eurot","2017","2017",17460.6,,
"2","Tootlikkus, eurot tunni kohta","2004","2004",11.6,,
"2","Tootlikkus, eurot tunni kohta","2005","2005",12.2,,
"2","Tootlikkus, eurot tunni kohta","2006","2006",12.9,,
"2","Tootlikkus, eurot tunni kohta","2007","2007",13.8,,
"2","Tootlikkus, eurot tunni kohta","2008","2008",13.3,,
"2","Tootlikkus, eurot tunni kohta","2009","2009",13.7,,
"2","Tootlikkus, eurot tunni kohta","2010","2010",14.3,,
"2","Tootlikkus, eurot tunni kohta","2011","2011",14.1,,
"2","Tootlikkus, eurot tunni kohta","2012","2012",14.7,,
"2","Tootlikkus, eurot tunni kohta","2013","2013",15,,
"2","Tootlikkus, eurot tunni kohta","2014","2014",15.4,,
"2","Tootlikkus, eurot tunni kohta","2015","2015",15.3,,
"2","Tootlikkus, eurot tunni kohta","2016","2016",15.5,,
"2","Tootlikkus, eurot tunni kohta","2017","2017",15.8,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2004","2004",0.85,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2005","2005",0.92,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2006","2006",1.12,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2007","2007",1.07,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2008","2008",1.26,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2009","2009",1.41,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2010","2010",1.58,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2011","2011",2.34,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2012","2012",2.16,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2013","2013",1.74,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2014","2014",1.44,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2015","2015",1.49,,
"3","Teadus- ja arendustegevusele tehtud kulutuste osatähtsus SKP-s, %","2016","2016",1.28,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2004","2004",5.1,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2005","2005",4.2,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2006","2006",3.8,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2007","2007",3.9,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2008","2008",4,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2009","2009",4.1,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2010","2010",3.5,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2011","2011",4.4,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2012","2012",4.2,,
"4","Kõrg- ja keskkõrgtehnoloogilise tööstuse hõive osatähtsus koguhõives, %","2013","2013",4.1,,
