"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2004","2004",57.16539,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2005","2005",56.30297,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2006","2006",40.53649,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2007","2007",36.55424,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2008","2008",32.96669,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2009","2009",44.6786,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2010","2010",56.48626,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2011","2011",60.89383,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2012","2012",67.47397,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2013","2013",65.29253,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2014","2014",63.90077,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2015","2015",63.28416,,
"1","Metsaraie osatähtsus puidu aastases juurdekasvus, %","2016","2016",67.14916,,
"2","Põlevkivi kaevandamine, miljonit tonni","2004","2004",11735.9,,
"2","Põlevkivi kaevandamine, miljonit tonni","2005","2005",12349,,
"2","Põlevkivi kaevandamine, miljonit tonni","2006","2006",11977.1,,
"2","Põlevkivi kaevandamine, miljonit tonni","2007","2007",13992.2,,
"2","Põlevkivi kaevandamine, miljonit tonni","2008","2008",13706.2,,
"2","Põlevkivi kaevandamine, miljonit tonni","2009","2009",12604.9,,
"2","Põlevkivi kaevandamine, miljonit tonni","2010","2010",15109,,
"2","Põlevkivi kaevandamine, miljonit tonni","2011","2011",15864.5,,
"2","Põlevkivi kaevandamine, miljonit tonni","2012","2012",14943.8,,
"2","Põlevkivi kaevandamine, miljonit tonni","2013","2013",15027.7,,
"2","Põlevkivi kaevandamine, miljonit tonni","2014","2014",14959.2,,
"2","Põlevkivi kaevandamine, miljonit tonni","2015","2015",14908.4,,
"2","Põlevkivi kaevandamine, miljonit tonni","2016","2016",12691.4,,
"2","Põlevkivi kaevandamine, miljonit tonni","2017","2017",15632.7,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2004","2004",5917,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2005","2005",6230.5,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2006","2006",7833.8,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2007","2007",9381.5,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2008","2008",8594.4,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2009","2009",7012,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2010","2010",5420,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2011","2011",6646.4,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2012","2012",6750.1,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2013","2013",7600.5,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2014","2014",6897.8,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2015","2015",6313.7,,
"3","Ehitusmaavarade kaevandamine, tuhat m³","2016","2016",6998,,
