"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2000","2000",26.7,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2001","2001",22.4,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2002","2002",14.6,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2003","2003",11.4,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2004","2004",9.2,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2005","2005",6,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2006","2006",4.2,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2007","2007",2.7,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2008","2008",4.8,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2009","2009",5,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2010","2010",2.5,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2011","2011",1.3,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2012","2012",1.8,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2013","2013",2.1,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2014","2014",1.5,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2015","2015",0.8,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2016","2016",1.1,,
"24","3.7.3. Nakatumine ägeda B-hepatiidiga 100 000 elaniku kohta","2017","2017",0.5,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2000","2000",0.5,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2001","2001",-0.2,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2002","2002",-0.33,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2003","2003",0.48,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2004","2004",1.57,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2005","2005",-1.63,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2006","2006",-2.57,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2007","2007",-3.62,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2008","2008",-4.96,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2009","2009",1.02,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2010","2010",0.88,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2011","2011",0.16,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2012","2012",0.11,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2013","2013",-0.42,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2014","2014",0.23,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2015","2015",0.5,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2016","2016",0.18,,
"147","17.2. Valitsemissektori eelarve tasakaal, % SKP-st","2017","2017",-0.34,,
"47","5.3.2. Sooline võrdõiguslikkus, ühiskondliku tegevuse indeks","2005","2005",66.9,,
"47","5.3.2. Sooline võrdõiguslikkus, ühiskondliku tegevuse indeks","2010","2010",67.2,,
"47","5.3.2. Sooline võrdõiguslikkus, ühiskondliku tegevuse indeks","2012","2012",67.2,,
"47","5.3.2. Sooline võrdõiguslikkus, ühiskondliku tegevuse indeks","2015","2015",65,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2000","2000",2.7,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2001","2001",1.9,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2002","2002",1.9,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2003","2003",1.8,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2004","2004",1.8,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2005","2005",1.9,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2006","2006",2,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2007","2007",2.1,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2008","2008",2.1,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2009","2009",1.9,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2010","2010",2,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2011","2011",1.9,,
"70","9.5.1. Rongisõitjate osatähtsus maismaa sõitjateveos, %","2012","2012",1.8,,
