"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2004","2004",7.645,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2005","2005",7.98203,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2006","2006",8.29256,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2007","2007",8.77507,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2008","2008",9.09216,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2009","2009",9.291,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2010","2010",8.64898,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2011","2011",8.92336,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2012","2012",8.70992,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2013","2013",9.19492,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2014","2014",9.61538,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2015","2015",10.03124,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2016","2016",10.14247,,
"1","Intensiivpõllumajanduse kasutuses olev maa, % territooriumist","2017","2017",10.35264,,
"2","Läänemere kalapüük, tuhat tonni","2000","2000",85.176,,
"2","Läänemere kalapüük, tuhat tonni","2001","2001",84.9593,,
"2","Läänemere kalapüük, tuhat tonni","2002","2002",79.0348,,
"2","Läänemere kalapüük, tuhat tonni","2003","2003",59.3778,,
"2","Läänemere kalapüük, tuhat tonni","2004","2004",64.90233,,
"2","Läänemere kalapüük, tuhat tonni","2005","2005",79.7607,,
"2","Läänemere kalapüük, tuhat tonni","2006","2006",73.0394,,
"2","Läänemere kalapüük, tuhat tonni","2007","2007",80.2441,,
"2","Läänemere kalapüük, tuhat tonni","2008","2008",83.57505,,
"2","Läänemere kalapüük, tuhat tonni","2009","2009",83.54824,,
"2","Läänemere kalapüük, tuhat tonni","2010","2010",79.572,,
"2","Läänemere kalapüük, tuhat tonni","2011","2011",63.4,,
"2","Läänemere kalapüük, tuhat tonni","2012","2012",52.2131,,
"2","Läänemere kalapüük, tuhat tonni","2013","2013",54.5587,,
"2","Läänemere kalapüük, tuhat tonni","2014","2014",54.6271,,
"2","Läänemere kalapüük, tuhat tonni","2015","2015",59.3267,,
"2","Läänemere kalapüük, tuhat tonni","2016","2016",60.4409,,
"2","Läänemere kalapüük, tuhat tonni","2017","2017",64.4766,,
"3","Sisevete kalapüük, tonni","2000","2000",3189.2,,
"3","Sisevete kalapüük, tonni","2001","2001",2461,,
"3","Sisevete kalapüük, tonni","2002","2002",4579.9,,
"3","Sisevete kalapüük, tonni","2003","2003",3592.4,,
"3","Sisevete kalapüük, tonni","2004","2004",2367.7,,
"3","Sisevete kalapüük, tonni","2005","2005",2400.5,,
"3","Sisevete kalapüük, tonni","2006","2006",2856.051,,
"3","Sisevete kalapüük, tonni","2007","2007",2567.7919,,
"3","Sisevete kalapüük, tonni","2008","2008",2748.897,,
"3","Sisevete kalapüük, tonni","2009","2009",2829.7668,,
"3","Sisevete kalapüük, tonni","2010","2010",2768.7,,
"3","Sisevete kalapüük, tonni","2011","2011",2650,,
"3","Sisevete kalapüük, tonni","2012","2012",2968.9,,
"3","Sisevete kalapüük, tonni","2013","2013",2850,,
"3","Sisevete kalapüük, tonni","2014","2014",2847.3,,
"3","Sisevete kalapüük, tonni","2015","2015",2573.8,,
"3","Sisevete kalapüük, tonni","2016","2016",3018.7,,
"3","Sisevete kalapüük, tonni","2017","2017",2954.6,,
"4","Uuendusraie pindala, tuhat hektarit","2000","2000",28.8,,
"4","Uuendusraie pindala, tuhat hektarit","2001","2001",27.8,,
"4","Uuendusraie pindala, tuhat hektarit","2002","2002",30.5,,
"4","Uuendusraie pindala, tuhat hektarit","2003","2003",24.6,,
"4","Uuendusraie pindala, tuhat hektarit","2004","2004",17.8,,
"4","Uuendusraie pindala, tuhat hektarit","2005","2005",18.4,,
"4","Uuendusraie pindala, tuhat hektarit","2006","2006",17.6,,
"4","Uuendusraie pindala, tuhat hektarit","2007","2007",17.9,,
"4","Uuendusraie pindala, tuhat hektarit","2008","2008",17.9,,
"4","Uuendusraie pindala, tuhat hektarit","2009","2009",20.142,,
"4","Uuendusraie pindala, tuhat hektarit","2010","2010",25.431,,
"4","Uuendusraie pindala, tuhat hektarit","2011","2011",27.282,,
"4","Uuendusraie pindala, tuhat hektarit","2012","2012",29.38,,
"4","Uuendusraie pindala, tuhat hektarit","2013","2013",30.484,,
"4","Uuendusraie pindala, tuhat hektarit","2014","2014",32.051,,
"4","Uuendusraie pindala, tuhat hektarit","2015","2015",33.924,,
"4","Uuendusraie pindala, tuhat hektarit","2016","2016",34.177,,
