"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2000","2000",9453,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2001","2001",9511,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2002","2002",9876,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2003","2003",11950,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2004","2004",11531,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2005","2005",11440,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2006","2006",10973,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2007","2007",12157,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2008","2008",11675.232,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2009","2009",8526.8473,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2010","2010",11661.83441,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2011","2011",9299,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2012","2012",8162.8546,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2013","2013",10699.945,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2014","2014",13609.228,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2015","2015",12221.499,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2016","2016",12857.535,,
"1","Jäätmete ladestamine prügilasse, tuhat tonni","2017","2017",13234.2027,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2001","2001",183104,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2002","2002",195264,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2003","2003",297808,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2004","2004",267874,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2005","2005",298018,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2006","2006",256567,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2007","2007",329057,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2008","2008",257234,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2009","2009",224190,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2010","2010",264755,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2011","2011",294805,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2012","2012",348942,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2013","2013",522233,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2014","2014",508806,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2015","2015",543080,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2016","2016",498722,,
"2","Jäätmete põletamine energia tootmiseks, tonni","2017","2017",455817,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2001","2001",961,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2002","2002",696,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2003","2003",566,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2004","2004",2457,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2005","2005",366.4,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2006","2006",40.9,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2007","2007",21,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2008","2008",0,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2009","2009",2.4,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2010","2010",21,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2011","2011",0,,
"3","Jäätmete põletamine energia tootmiseta, tonni","2012","2012",55.9,,
