"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2000","2000",2.08824,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2001","2001",2.09618,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2002","2002",2.00909,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2003","2003",2.10436,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2004","2004",2.2337,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2005","2005",2.22947,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2006","2006",2.18558,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2007","2007",2.40671,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2008","2008",2.59341,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2009","2009",2.44329,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2010","2010",2.49239,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2011","2011",2.50846,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2012","2012",2.68878,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2013","2013",2.69656,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2014","2014",2.83464,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2015","2015",2.93873,,
"1","Dilämmastikoksiidi heitkogus, tuhat tonni","2016","2016",2.8116,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2000","2000",81.75747,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2001","2001",98.85653,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2002","2002",100.20579,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2003","2003",106.14093,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2004","2004",120.36516,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2005","2005",135.99101,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2006","2006",155.7614,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2007","2007",171.36703,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2008","2008",151.73098,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2009","2009",158.90808,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2010","2010",177.26742,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2011","2011",185.09131,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2012","2012",195.08921,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2013","2013",209.37317,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2014","2014",219.73076,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2015","2015",225.48388,,
"2","F-gaaside heitkogus, CO2 ekvivalenttonni","2016","2016",237.72243,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2000","2000",12.38743,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2001","2001",12.67393,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2002","2002",12.28569,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2003","2003",13.63861,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2004","2004",13.82806,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2005","2005",13.70452,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2006","2006",13.199,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2007","2007",15.86674,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2008","2008",14.3051,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2009","2009",11.92714,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2010","2010",15.12621,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2011","2011",15.14465,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2012","2012",14.37422,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2013","2013",15.63843,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2014","2014",15.0798,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2015","2015",12.91992,,
"3","Kasvuhoonegaaside heitkogus (ilma sidumiseta ökosüsteemide poolt) elaniku kohta, CO2 ekvivalenttonni","2016","2016",14.04957,,
"4","Metaani heitkogus, tuhat tonni","2000","2000",49.55205,,
"4","Metaani heitkogus, tuhat tonni","2001","2001",50.95585,,
"4","Metaani heitkogus, tuhat tonni","2002","2002",49.22776,,
"4","Metaani heitkogus, tuhat tonni","2003","2003",49.29755,,
"4","Metaani heitkogus, tuhat tonni","2004","2004",49.79967,,
"4","Metaani heitkogus, tuhat tonni","2005","2005",48.33272,,
"4","Metaani heitkogus, tuhat tonni","2006","2006",47.70227,,
"4","Metaani heitkogus, tuhat tonni","2007","2007",48.21537,,
"4","Metaani heitkogus, tuhat tonni","2008","2008",47.47156,,
"4","Metaani heitkogus, tuhat tonni","2009","2009",46.63855,,
"4","Metaani heitkogus, tuhat tonni","2010","2010",47.84902,,
"4","Metaani heitkogus, tuhat tonni","2011","2011",45.08178,,
"4","Metaani heitkogus, tuhat tonni","2012","2012",45.84673,,
"4","Metaani heitkogus, tuhat tonni","2013","2013",45.52411,,
"4","Metaani heitkogus, tuhat tonni","2014","2014",43.91823,,
"4","Metaani heitkogus, tuhat tonni","2015","2015",42.26572,,
"4","Metaani heitkogus, tuhat tonni","2016","2016",42.31845,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2000","2000",15362.20736,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2001","2001",15707.86832,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2002","2002",15233.32173,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2003","2003",17087.24852,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2004","2004",17286.59062,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2005","2005",17136.32146,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2006","2006",16439.18916,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2007","2007",20071.6477,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2008","2008",17872.65045,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2009","2009",14609.06715,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2010","2010",19014.85792,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2011","2011",19097.19734,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2012","2012",17938.05904,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2013","2013",19695.59698,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2014","2014",18903.84017,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2015","2015",15891.06825,,
"5","Süsinikdioksiidi heitkogus (ilma sidumiseta ökosüsteemide poolt), tuhat tonni","2016","2016",17493.50319,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2000","2000",-3371.1566,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2001","2001",-1634.45387,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2002","2002",-2224.80755,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2003","2003",-2597.61858,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2004","2004",-2650.89696,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2005","2005",-2883.73195,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2006","2006",-2756.86195,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2007","2007",-3162.66668,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2008","2008",-2881.53834,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2009","2009",-2879.76536,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2010","2010",-1986.51818,,
"6","Süsinikdioksiidi sidumine ökosüsteemide poolt, tuhat tonni","2011","2011",-2119.80269,,
