"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Autobensiini tarbimine","2000","2000",282,,
"1","Autobensiini tarbimine","2001","2001",335,,
"1","Autobensiini tarbimine","2002","2002",309,,
"1","Autobensiini tarbimine","2003","2003",306,,
"1","Autobensiini tarbimine","2004","2004",287,,
"1","Autobensiini tarbimine","2005","2005",290,,
"1","Autobensiini tarbimine","2006","2006",308,,
"1","Autobensiini tarbimine","2007","2007",323,,
"1","Autobensiini tarbimine","2008","2008",321,,
"1","Autobensiini tarbimine","2009","2009",293,,
"1","Autobensiini tarbimine","2010","2010",276,,
"1","Autobensiini tarbimine","2011","2011",261,,
"1","Autobensiini tarbimine","2012","2012",252,,
"1","Autobensiini tarbimine","2013","2013",234,,
"1","Autobensiini tarbimine","2014","2014",241,,
"1","Autobensiini tarbimine","2015","2015",236,,
"1","Autobensiini tarbimine","2016","2016",252,,
"1","Autobensiini tarbimine","2017","2017",260,,
"2","Diislikütuse tarbimine","2000","2000",284,,
"2","Diislikütuse tarbimine","2001","2001",324,,
"2","Diislikütuse tarbimine","2002","2002",348,,
"2","Diislikütuse tarbimine","2003","2003",393,,
"2","Diislikütuse tarbimine","2004","2004",417,,
"2","Diislikütuse tarbimine","2005","2005",447,,
"2","Diislikütuse tarbimine","2006","2006",480,,
"2","Diislikütuse tarbimine","2007","2007",528,,
"2","Diislikütuse tarbimine","2008","2008",499,,
"2","Diislikütuse tarbimine","2009","2009",466,,
"2","Diislikütuse tarbimine","2010","2010",520,,
"2","Diislikütuse tarbimine","2011","2011",572,,
"2","Diislikütuse tarbimine","2012","2012",601,,
"2","Diislikütuse tarbimine","2013","2013",595,,
"2","Diislikütuse tarbimine","2014","2014",637,,
"2","Diislikütuse tarbimine","2015","2015",662,,
"2","Diislikütuse tarbimine","2016","2016",647,,
"2","Diislikütuse tarbimine","2017","2017",652,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2000","2000",38.24609,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2001","2001",37.19465,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2002","2002",36.60938,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2003","2003",35.23879,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2004","2004",35.45792,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2005","2005",33.42353,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2006","2006",31.98417,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2007","2007",29.39564,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2008","2008",27.54257,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2009","2009",24.86391,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2010","2010",24.39646,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2011","2011",24.19023,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2012","2012",24.01706,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2013","2013",23.42752,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2014","2014",23.14523,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2015","2015",22.78331,,
"3","Lenduvate orgaaniliste ühendite heitkogus","2016","2016",22.46137,,
"4","Lämmastikoksiidide heitkogus","2000","2000",44.87727,,
"4","Lämmastikoksiidide heitkogus","2001","2001",46.8267,,
"4","Lämmastikoksiidide heitkogus","2002","2002",47.49487,,
"4","Lämmastikoksiidide heitkogus","2003","2003",48.41404,,
"4","Lämmastikoksiidide heitkogus","2004","2004",45.43488,,
"4","Lämmastikoksiidide heitkogus","2005","2005",41.86936,,
"4","Lämmastikoksiidide heitkogus","2006","2006",40.5355,,
"4","Lämmastikoksiidide heitkogus","2007","2007",44.87203,,
"4","Lämmastikoksiidide heitkogus","2008","2008",41.6662,,
"4","Lämmastikoksiidide heitkogus","2009","2009",36.53338,,
"4","Lämmastikoksiidide heitkogus","2010","2010",42.88815,,
"4","Lämmastikoksiidide heitkogus","2011","2011",41.41147,,
"4","Lämmastikoksiidide heitkogus","2012","2012",37.81882,,
"4","Lämmastikoksiidide heitkogus","2013","2013",35.20112,,
"4","Lämmastikoksiidide heitkogus","2014","2014",34.8342,,
"4","Lämmastikoksiidide heitkogus","2015","2015",31.56578,,
"4","Lämmastikoksiidide heitkogus","2016","2016",31.29349,,
"5","Tahkete osakeste heitkogus","2000","2000",70.14811,,
"5","Tahkete osakeste heitkogus","2001","2001",68.34906,,
"5","Tahkete osakeste heitkogus","2002","2002",48.49511,,
"5","Tahkete osakeste heitkogus","2003","2003",44.48477,,
"5","Tahkete osakeste heitkogus","2004","2004",43.1417,,
"5","Tahkete osakeste heitkogus","2005","2005",35.74006,,
"5","Tahkete osakeste heitkogus","2006","2006",27.24479,,
"5","Tahkete osakeste heitkogus","2007","2007",32.86868,,
"5","Tahkete osakeste heitkogus","2008","2008",28.43723,,
"5","Tahkete osakeste heitkogus","2009","2009",22.62564,,
"5","Tahkete osakeste heitkogus","2010","2010",30.17552,,
"5","Tahkete osakeste heitkogus","2011","2011",42.71244,,
"5","Tahkete osakeste heitkogus","2012","2012",19.60307,,
"5","Tahkete osakeste heitkogus","2013","2013",23.43034,,
"5","Tahkete osakeste heitkogus","2014","2014",19.62621,,
"5","Tahkete osakeste heitkogus","2015","2015",21.08026,,
"5","Tahkete osakeste heitkogus","2016","2016",16.47289,,
"6","Vääveldioksiidi heitkogus","2000","2000",97.10992,,
"6","Vääveldioksiidi heitkogus","2001","2001",90.71165,,
"6","Vääveldioksiidi heitkogus","2002","2002",87.03681,,
"6","Vääveldioksiidi heitkogus","2003","2003",100.30421,,
"6","Vääveldioksiidi heitkogus","2004","2004",88.16841,,
"6","Vääveldioksiidi heitkogus","2005","2005",76.24067,,
"6","Vääveldioksiidi heitkogus","2006","2006",69.90318,,
"6","Vääveldioksiidi heitkogus","2007","2007",88.04183,,
"6","Vääveldioksiidi heitkogus","2008","2008",69.47544,,
"6","Vääveldioksiidi heitkogus","2009","2009",54.87183,,
"6","Vääveldioksiidi heitkogus","2010","2010",83.28565,,
"6","Vääveldioksiidi heitkogus","2011","2011",72.71552,,
"6","Vääveldioksiidi heitkogus","2012","2012",40.58405,,
"6","Vääveldioksiidi heitkogus","2013","2013",36.49617,,
"6","Vääveldioksiidi heitkogus","2014","2014",40.81562,,
"6","Vääveldioksiidi heitkogus","2015","2015",31.78583,,
"6","Vääveldioksiidi heitkogus","2016","2016",29.84034,,
